276,33.67,33.67,16.2,0,5.52,11.04,22.08,5,0.52,4.65,0.87,4.02,1.5,3.87,1.65
278,33.91,33.91,16.78,0,5.56,11.12,22.24,5.04,0.52,4.69,0.87,4.06,1.5,3.91,1.65
280,34.16,34.16,17.36,0,5.6,11.2,22.4,5.08,0.52,4.73,0.87,4.1,1.5,3.95,1.65
282,34.4,34.4,17.94,0,5.64,11.28,22.56,5.12,0.52,4.77,0.87,4.14,1.5,3.99,1.65
284,34.64,34.64,18.52,0,5.68,11.36,22.72,5.16,0.52,4.81,0.87,4.18,1.5,4.03,1.65
286,34.89,34.89,19.1,0,5.72,11.44,22.88,5.2,0.52,4.85,0.87,4.22,1.5,4.07,1.65
288,35.13,35.13,19.68,0,5.76,11.52,23.04,5.24,0.52,4.89,0.87,4.26,1.5,4.11,1.65
290,35.38,35.38,20.26,0,5.8,11.6,23.2,5.28,0.52,4.93,0.87,4.3,1.5,4.15,1.65
292,35.62,35.62,20.84,0,5.84,11.68,23.36,5.32,0.52,4.97,0.87,4.34,1.5,4.19,1.65
294,35.86,35.86,21.42,0,5.88,11.76,23.52,5.36,0.52,5.01,0.87,4.38,1.5,4.23,1.65
296,36.11,36.11,22,0,5.92,11.84,23.68,5.4,0.52,5.05,0.87,4.42,1.5,4.27,1.65
298,36.35,36.35,22.58,0,5.96,11.92,23.84,5.44,0.52,5.09,0.87,4.46,1.5,4.31,1.65
300,36.6,36.6,23.16,0,6,12,24,5.37,0.63,4.95,1.05,4.2,1.8,4.02,1.98
302,36.84,36.84,23.74,0,6.04,12.08,24.16,5.41,0.63,4.99,1.05,4.24,1.8,4.06,1.98
304,37.08,37.08,24.32,0,6.08,12.16,24.32,5.45,0.63,5.03,1.05,4.28,1.8,4.1,1.98
306,37.33,37.33,24.9,0,6.12,12.24,24.48,5.49,0.63,5.07,1.05,4.32,1.8,4.14,1.98
308,37.57,37.57,25.48,0,6.16,12.32,24.64,5.53,0.63,5.11,1.05,4.36,1.8,4.18,1.98
310,37.82,37.82,26.06,0,6.2,12.4,24.8,5.57,0.63,5.15,1.05,4.4,1.8,4.22,1.98
312,38.06,38.06,26.64,0,6.24,12.48,24.96,5.61,0.63,5.19,1.05,4.44,1.8,4.26,1.98
314,38.3,38.3,27.22,0,6.28,12.56,25.12,5.65,0.63,5.23,1.05,4.48,1.8,4.3,1.98
316,38.55,38.55,27.8,0,6.32,12.64,25.28,5.69,0.63,5.27,1.05,4.52,1.8,4.34,1.98
318,38.79,38.79,28.38,0,6.36,12.72,25.44,5.73,0.63,5.31,1.05,4.56,1.8,4.38,1.98
320,39.04,39.04,28.96,0,6.4,12.8,25.6,5.77,0.63,5.35,1.05,4.6,1.8,4.42,1.98
322,39.28,39.28,29.54,0,6.44,12.88,25.76,5.81,0.63,5.39,1.05,4.64,1.8,4.46,1.98
324,39.52,39.52,30.12,0,6.48,12.96,25.92,5.85,0.63,5.43,1.05,4.68,1.8,4.5,1.98
